date,Ibex 35,ibex 35 down,credito,recesión,Ibex 35%,ibex 35 down%,credito%,recesión%
2014-09-09,65,0,92,19,18.18,0.0,5.75,58.33
2014-09-10,79,0,92,4,21.54,0.0,0.0,-78.94
2014-09-11,61,0,86,16,-22.78,0.0,-6.52,299.93
2014-09-12,59,0,86,8,-3.28,0.0,0.0,-50.0
2014-09-13,12,0,60,28,-79.66,0.0,-30.23,249.97
2014-09-14,9,0,51,0,-25.0,0.0,-15.0,-100.0
2014-09-15,57,0,90,4,533.27,0.0,76.47,400000.0
2014-09-16,58,0,86,12,1.75,0.0,-4.44,199.95
2014-09-17,58,0,95,28,0.0,0.0,10.46,133.32
2014-09-18,64,0,89,8,10.34,0.0,-6.32,-71.43
2014-09-19,74,0,87,4,15.62,0.0,-2.25,-49.99
2014-09-20,11,0,60,14,-85.13,0.0,-31.03,249.94
2014-09-21,8,0,53,14,-27.27,0.0,-11.67,0.0
2014-09-22,66,0,92,19,724.91,0.0,73.58,35.71
2014-09-23,58,0,93,8,-12.12,0.0,1.09,-57.89
2014-09-24,61,0,95,12,5.17,0.0,2.15,49.99
2014-09-25,58,0,90,31,-4.92,0.0,-5.26,158.32
2014-09-26,60,0,90,4,3.45,0.0,0.0,-87.09
2014-09-27,9,0,62,9,-85.0,0.0,-31.11,124.97
2014-09-28,9,0,55,5,0.0,0.0,-11.29,-44.44
2014-09-29,54,0,94,19,499.94,0.0,70.91,279.94
2014-09-30,57,0,99,12,5.56,0.0,5.32,-36.84
2014-10-01,59,0,96,15,3.51,0.0,-3.03,25.0
2014-10-02,68,0,97,24,15.25,0.0,1.04,60.0
2014-10-03,68,0,90,13,0.0,0.0,-7.22,-45.83
2014-10-04,14,0,66,5,-79.41,0.0,-26.67,-61.53
2014-10-05,8,0,48,5,-42.85,0.0,-27.27,0.0
2014-10-06,59,0,97,31,637.42,0.0,102.08,519.9
2014-10-07,64,0,100,19,8.47,0.0,3.09,-38.71
2014-10-08,63,0,100,31,-1.56,0.0,0.0,63.15
2014-10-09,65,0,98,4,3.17,0.0,-2.0,-87.09
2014-10-10,70,0,91,16,7.69,0.0,-7.14,299.93
2014-10-11,15,0,60,9,-78.57,0.0,-34.07,-43.75
2014-10-12,12,0,55,5,-20.0,0.0,-8.33,-44.44
2014-10-13,59,0,92,23,391.63,0.0,67.27,359.93
2014-10-14,61,0,100,15,3.39,0.0,8.7,-34.78
2014-10-15,79,0,99,38,29.51,0.0,-1.0,153.32
2014-10-16,94,78,94,27,18.99,7800000.0,-5.05,-28.95
2014-10-17,84,0,89,20,-10.64,-100.0,-5.32,-25.92
2014-10-18,19,0,66,9,-77.38,0.0,-25.84,-55.0
2014-10-19,9,0,55,23,-52.63,0.0,-16.67,155.54
2014-10-20,81,0,92,11,799.91,0.0,67.27,-52.17
2014-10-21,75,0,93,23,-7.41,0.0,1.09,109.08
2014-10-22,77,0,91,11,2.67,0.0,-2.15,-52.17
2014-10-23,76,0,89,27,-1.3,0.0,-2.2,145.44
2014-10-24,74,0,89,16,-2.63,0.0,0.0,-40.74
2014-10-25,13,0,58,9,-82.43,0.0,-34.83,-43.75
2014-10-26,11,0,52,9,-15.38,0.0,-10.34,0.0
